Ad id 196472964,Mercedes cls  5300 cc 2006 white X BROWN 170000km electric chairs  any information:01126754000
Ad id 196524195,#DIAMOND_AUTOMOTIVE #THE_BEST_OR_NOTHING  JAGUAR F TYPE   M/Y 2017   3000 CC  37,000 km   السيارة فبربكة بالكامل بحالة الزيرووو  لا يوجد بها اي دهانات   بها طبقه حمايه من الزيرووو   صيانه منتظمه بصفه دوريه    المعاينه / 29 عبد الواحد فهمي - مصر الجديدة   للتواصل و الاستعلام     01065180570 01125784087 01120310303
Ad id 196514488,فبريكا بالكامل برة وجوة ماعدا رفرف وباب فقط عداد 50  الف كيلو رخصة باسمي مرور العتبة
Ad id 196251144,بحاله مميزه جداً سوبارو xv اعلى فئه لاكشرى عداد ٧٥ الف كم فقط فبريكه بالكامل بحاله الزيرو تماماً
Ad id 196528899,X5 all fabrica 2015 100 alf kilo color dark brown
Ad id 196237346,Mercedes E200 Avantgarde 2022 2000cc 198hp Keyless entry Rear camera Black leather interior  Panoramic sliding sunroof  R18 Electric tailgate  Burmester sound system
Ad id 196155871,جيب رينجيد ٢٠١٩ أعلي فئة (4x4) بانوراما 80,000 كم (قابل للزيادة] لون فيراني فبريكا بالكامل (خارجي وداخلي) صيانات بالتوكيل متاح المعاينة والكشف البيع بعقد مسجل
Ad id 196323959,رشه قطعتين استخدام خفيف تاني مالك من الزيرو التفاوض في السعر بعد المعاينة مدينتي
Ad id 195646632,Range Rover Sport p400 Hse 2021 Wakel MTI  رانج روفر سبورت ٢٠٠٠ سي سي hse ٢٠٢١ ضمان خمس سنوات  خصم خاص علي الكاش داخل المعرض   40000KM السياره بحاله الزيرو تماماً  المواصفات  ماتور ٢٠٠٠ سي سي تربو ٤٠٤ حصان    جنوط ٢١   بصمة ابواب   ابواب شفط   كاميرا خلفية   سيسنور امامي وخلفي  سماعات مرديان   ثلاجة  فتحة سقف بانورما   فوانيس ماتريكس   عفشة هيدروليك   شنطة كهرباء وسيسنور قدم    تكيف امامي وخلفي   تحكم تكيف خلفي   تسخين كراسي    طارة كهرباء   بروچكتور  شيفتات طارة  لاين اسيست بريك اسيست ابل كاربلاى + اندرويد اوتو   كراسي كهرباء وميمورى   اضائة داخلية ١٠ الوان   مرايات ضم     تحكم في الهيدروليك من مفتاح السيارة   Navigation   جميع انظمة الدفع متاحة  كاش او تقسيط   للتواصل  : يوسف فاروق.         01113119902
Ad id 196485648,كيت  امامى وفوانيس ليد موديل 2015 فبريكا بره و جوه ما عدا رفرفين نظافة عداد 127 الف كم
Ad id 196375442,#DIAMOND_AUTOMOTIVE #THE_BEST_OR_NOTHING   BMW M850    M/Y 2020    Only 38,000 KM  صيانات منتظمه بصفه دوريه   السيارة فبريكه بالكامل بدون ملحوظه  يوجد بها طبقه حماية من الزيرو    المعاينه / 29 عبد الواحد فهمي - مصر الجديدة   للتواصل :  01065180570 01125784087 01061333792 01120310303
Ad id 195719484,عربية فيات تيبو بحالة جيدة جدا مالك اول استخدام طبيبة اعلي فئة ٥١٥ الف كاوتش جديد تقريبا
Ad id 196453748,Mercedes Benz C180 AMG      2022       1500 CC        6000 km         170 hp     4 Cylinders     silver * Gray Multifunction steering wheels  Lumber Support keyless start/ Stop Carpets Ambient lighting  Auto dimming mirror Folding rear seats  Display 11.9 inch 7 Airbags  Auto park speakers  Auto Folding mirror  Rain sensors  Head lamps LED  Auto Headligts  LED daytime running lamps  Tinted glass  speed limiter active Brake assist  selectable Driving modes for more info : 01001095081 0111 2152222 01002202222 01002105243 01114877400  Or visit us at: 18 ElTayarn . st Nasrcity  Facebook page:  facebook. com/ElTayaranCars
Ad id 196510067,السياره بحاله ممتازه فابريكه من الخارج والداخل ماعدا بعض المرامات البسيطه في الجوانب نتيجه خرابيش وحكات كامله اعلي فئه رخصه ساريه من اول مالك صيانات كامله كاوتش جديد صالون بحاله ممتازه ولا تحتاج لأي مصاريف
Ad id 196496959,السياره بحاله ممتازه فابريكه من الخارج والداخل ماعدا بعض المرامات البسيطه في الجوانب نتيجه خرابيش وحكات كامله اعلي فئه بدون فتحه سقف كراسي جلد رخصه ساريه تاني مالك صيانات كامله كاوتش جديد صالون بحاله ممتازه ولا تحتاج لأي مصاريف
Ad id 196518173,BRAND : Mercedes-Benz  M/Y : 2020 MILEAGE :  36,000 KM  EXTERIOR COLOR :  white  INTERIORCOLOR :  Brown   8 Hafez ramadan street -ahmad fakhry (nasr city)   : 01278339902-01288290190
Ad id 196484878,رانج روفر ديسكفري سبورت 2016 السيارة فبريكا بالكامل  138500 كم  جنوط سبورت 19 فتحة سقف بانوراما  طاره مالتى  ماتور 20000 تربو فتيس 9 غيار  مرايات ضم  كراسي كهرباء  فوانيس امامية ليد زينون فوانيس خلفية ليد بصمة  تكيف تاتش  كاسيت تاتش صيانات توكيل لحد 110000 كم  معمول كل الصيانات  كاوتش بحالة جيده
Ad id 196459936,Mercedes cla urban 2019
Ad id 196146734,Seat leon FR     2022 only 16,000 km with factory paint  memory seats  wireless charger
Ad id 196496802,السياره بحاله ممتازه فابريكه من الخارج والداخل ماعدا بعض المرامات البسيطه في الجوانب كامله مانيوال صيانات كامله كاوتش جديد صالون بحاله ممتازه ولا تحتاج لأي مصاريف
Ad id 196495124,السياره بحاله ممتازه فابريكه من داخل ورشه بالخارج كامله اعلي فئه فتحه سقف رخصه ساريه تاني مالك صيانات كامله كاوتش جديد صالون بحاله ممتازه ولا تحتاج لأي مصاريف
Ad id 196527625,نيسان صني N17 كسر زيرو فبريكة بالكامل الفئة التانية  للتواصل  01020523714 01288884695 العربية فبريكة بالداخل و الخارج بدون خربوش - حالة المصنع من الخارج و الداخل  بدون اي ملاحظات  بالمفتاح الاصلي و الاسبير و الكتالوجات و كتيب الضمان  العربية ٥٦ الف كيلو علي استعداد  للكشف في اي مكان . معمول جميع الصيانات منتظمة بالتوكيل    تحكم طارة  - جنوط سبورت - زجاج فاميه مثبت علي الرخصة - سبويلار - مسند يد خلفي - اوكر نيكل - اير باج- تكيف تلاجة- ABS- EBD  كسر زيرو بدون اي رش حتي الاكصدامات  بدون اي خرابيش او اي ملاحظات  ٤ فرد كاوتش جديد  مطلوب ٣٨٠٠٠٠ نهائي    للتواصل  01020523714 01288884695  مكان المعاينة: مصر الجديدة ميدان اسماعيلية او مدينة نصر شارع النزهة اول عابس العقاد
Ad id 196305631,Porsche  Boxster 718 GTS M/Y 2019  KM 29000 2500 CC  Deposit 1460000 يوجد اقل مقدم واطول فتره سداد  برجاء الاتصال علي 01029400004
Ad id 195663544,للبيع ستروين اكسارا مانوال تكييف وباور وسنترلوك ومفتاح ريموت  كاسيت بيونير وسماعات سوني حالة ممتازة كاوتش وبطارية وصيانات توكيل فابريكا دواخل طقم جنوط وبطارية فارتا  لاتحتاج اي مصاريف  مرور قوات مسلحة  المعاينة خير دليل  للاستعلام 01229859996 المالك   المعاينة مصر الجديدة
Ad id 196079935,#فتحي_موتورز   #الحوت  #البيع_كاش_او_بتقسيط_مباشر_مع_المعرض  #MG_HS  الموديل : 2021 ناقل : اوتوماتيك العداد : 71,000  #اعلي_فئه  السياره فبريكا من الداخل والخارج بالكامل   #المعاينة:  الاميريه امام مستشفي الزيتون التخصصي بجوار وحده ترخيص الاميريه خلف مصنع بسكو مصر  #للاستفسار   : 01226455457  : 01111553587  : 01114498736  : 01110021701
Ad id 196396274,مرسيدس cls 350 الوحيده في مصر بهذه المواصفات ، سياره كامله متكامله  ٢٥ سماعه بروماستر  كراسي مساج  كراسي تسخين /تبريد  كراسي. تسخين خلفي  كراسي دينامك  رادار  لاين اسيست  فرش بيج طاره بيج  اير ساسبنشن *مش موجود في ولا عربيه في مصر *  فيلم حمايه من protect me  العربيه فبريكا بالكامل العربيه صيانات توكيل لاخر كيلو مفهاش مصروف جنيه *لسه كاشف عليها عند ابو غالي مفهاش جنيه مصروف *  جنوط جديده /كوتشات جديده مواصفات اخري كتير  السعر قابل للتفاوض البسيط جدا ،
Ad id 196461134,تويوتا كورولا ٢٠١٩ فئة تانية   فبريكا بالكامل و حالة ممتازة  عداد ٧٢،٢٠٠ كم   2 airbags bluetooth جنط ١٦ ABS/EBD/ESP  مطلوب 680,٠٠٠
Ad id 196542559,استورد عربيتك بنفسك مع غندور اوتو زيرو جمارك استلام بعد 60 يوم  كلمنا لمزيد من التفاصيل  01066600570 01281743024 01120993888 01018721188 01102005922 01033211066 01015998071 01092492111 01092467222  نستورد السيارات  الاوروبيه بنزين/هايبرد/كهربا الى مصر زيرو جمارك حسب الطلب.   زورو موقعنا www. Ghandourauto. com   نقوم باستخراج شهادة اليورو وان وتصدير السيارة من اوروبا مع مراعاة جميع اجراءات الشحن والتخليص والتأمين حتى تسليم السيارة من مكتبنا 279 ش. التسعين الجنوبي التجمع الخامس
Ad id 196289321,super charged  134000KM - Fully Loaded This car is trip ticket for the other nationalities and foriegn residents هذه السيارة جمرك بنظام التربتك لاصحاب الجنسيات الاخري والمقيمين بالخارج والاجانب  وللمذيد من الاستفسار  Call or Whatsapp  01277774155 او تفضلوا بزيارة فرع الشركة بمصر الجديدة لمذيد من السيارات في حساب انستقرام   @planbexotic
Ad id 196455654,السياره بحاله ممتازه فابريكه من الخارج والداخل ماعدا اكصدامات كامله اعلي فئه بصمه رخصه ساريه تاني مالك صيانات كامله كاوتش جديد صالون بحاله ممتازه ولا تحتاج لأي مصاريف
Ad id 196460477,شيري اريزو 5 موديل 2022 بمقدم 110000 قسط شهري 8288 الفئه الاولي  عداد 30 الف كم  فبريكا بالكامل  متاح تقسيط موديلات من 2019  انظمه تقسيط تناسب الجميع  للتواصل 01006088749
Ad id 196511289,هيونداي اكسنت 2010 رشه أجزاء من الخارج داخل زيرو كامله اوتوماتيك السياره لا تحتاج لاى مصروف جنيه يوجد لدينا جميع انواع التقسيط للإستفسار برجاء الاتصال على الأرقام. 01148406603 01000802412
Ad id 196513161,‏#vipmotors ‏Affordable & like new أرخص مستعمل في مصر بحاله الزيرو مرسيدس c180موديل 2013كامله بانوراما  فبريكا برا و جوا بالكامل بدهان المصنع حالة ممتازة  وارد المانيا الوحيدة فى مصر عداد العربية 67 ألف كيلو  السيارة مرور الدقهلية والرخصة سارية سنة  ‎تواجد السيارة في فرع مدينه نصر ‎‏Vip motors 01124199205 01122129012 01091955406 01159416698
Ad id 196532908,Peugeot 3008 Gt pack black - red interior model 2021 20.000 kilo for more information : 01114812283
Ad id 196537586,السيارة فبريكه بالكامل من الداخل و الخارج صيانات دورية منتظمة استعمال راقي جدا لا تحتاج اي مصاريف  المعاينه /٢١ شارع الطيران مدينه نصر امام كنتاكي
Ad id 196362428,باسات ٢٠١٦ ثانى فئة  كسر زيرو عداد ٧٩,٠٠٠ كم فابريكا بالكامل من الاكصدام للاكصدام بدون اى مرمات او جرام واحد بوية رخصة سنة ونص مرور التجمع الخامس فاميه مثبوت على الرخصة بدون مخالفات والاستلام بشهادة مخالفات جميع الصيانات بالتوكيل بالفواتير حالتها زيرو العربية حالة نادرة السعر ٧٠٠,٠٠٠ التواصل واتساب لتحديد معاد للمعاينة والتواصل مع المالك
Ad id 196545139,للبيع 740 مو 2012 فابريكة بالكامل عدا اكصدامين اسود فرش اسود حالة الزيرو معمول كل الصيانات حالة الفابريكة بمعنى الكلمة صالون زيرو مش محتاجة مصروف عداد 142000 كم
Ad id 196545082,تويوتا كورولا ٢٠٢٠ فبريكا بالكامل من غير اي دهانات ، اول مالك من الزيرو بدون اي توكيل رخصه ٤ شهور ، العربيه معمول كل الصيانات الدوريه عند تويوتا الابيض قبل موعيد الصيانه ، كوتش وبطاريه جداد ، العربيه فيها تجهيزات اكتر من ٥٠ الف جنيه ، جنط 17 LENSO ، اصلي شاشه اندرويد وينكا ، ليد صالون بلوتوث علي الموبيل جميع الالوان ، شبوره ليد عدسات اصلي ، طقم لمبات للفانوس ليد الماني ، اسبويلر GR اصلي للشنطه والسقف ، شبكه خليه للحفاظ علي سربنتينه وشكل اجمل للسياره ، ارضيه جلد ، العربيه متحافظ عليها في جراج  ، واستخدمها للسفر فقط لوجود سياره تانيه ، يوجد طقم كاوتش بجنوط اسبور اخر ثمنهم لوحده ٢٠ الف  والشبكه الاصليه موجوده بكيسها .
Ad id 196503933,كيا سيراتو 2017 الفئة الثانية فبريكا بالكامل بره وجوه كاش او تقسيط بمقدم يبدأ من 30% وفائدة تبدأ من 11% نتشرف بزيارتكم لنا
Ad id 196353546,سيارة سوبارو كحلي بحالة الزيرو مرور البساتين اول يد
Ad id 196544742,مرسيدس GLS580 موديل 2023  رخصه سنه طبقه حمايه ضمان 10سنين
Ad id 196435479,بسم الله توكلنا على الله مرسيدس GLA200 موديل 2016 AMG عداد65 ألف كم فبريكا بالكامل يوجد لدينا أنظمة تقسيط متعددة
Ad id 196544983,بسم الله والصلاه والسلام على رسول الله السيارة بحالة ممتازة
Ad id 196544950,بسم الله والصلاه والسلام على رسول الله السيارة اعلى فئة بحالة فوق الممتازة
Ad id 196544845,كيا سيراتو 2015 فبريكة سقف وكبوت وبعض الاجزاء من الخارج رخصة سنة وسبع شهور كاسيت اندرويد جنوت اسبور
Ad id 196544803,عربيه mg zs الفئه التانيه
Ad id 196542677,‎ اوتوماتيك حالة الفابريكة صيانة كاملة ميكانيا وتكييف دواخل فابريكة وسقف وشنطة وكبوت رخصة سنة مرور مصر الجديدة بدون توكيلات من المالك مباشرة اتنين مفتاح الاصلي فرش جلد موتور وفتيس وتكييف وصالون حالة الزيرو لا تحتاح مصروف
Ad id 196529756,بسم الله توكلنا على الله مرسيدس C200 موديل 2008 تعديل C63 عداد 164 ألف كم فبريكا بالكامل (معدل المسك الأمامى)
Ad id 196529733,‎— هيونداى النترا AD 2019 ( عداد 23 الف كم فقط ) ‎— كسر زيرو بمعنى الكلمة فابريكة بالكااااامل من الاكصدام ل الاكصدام بدون نقطة بوية حالة نادرة استبن بحالة الزيرو  متفكش منها مسمار بحالة الزيرو ‎ — ( عداد 23 الف كم فقط ) كسر زيرو بالكتالوجات والمفتاح الاصلى والمفتاح الاسبير - { صيانات منتظمة }  ‎— فتحة سقف - ٢ ايرباج - ABS - مثبت سرعة - ليدات - شاشة - كاميرا خلفية - مرايات ضم - - سينسور بارك حساسات ركن - تحكم طارة كامل  - جنوط سبور اوريجنال - اشارات مرايات - بلوتوث - كار بلاى - تكييف ثلاجة - فاميه - طارة مالتى كاملة - مانع من السرقة - - زجاج كهرباء - فوج لايت - عدد ٢ مفتاح الاصلى والاسبير - الكتالوجات بتاعتها - استبن بحالة الزيرو  ‎‏— AUX / USB ‎— العربية بحالة الزيرو صيانات منتظمه لا تحتاج لاى مصاريف نهائى  ‎— رخصة سنتين - مرور القاهرة - المعاينة مصر الجديدة - القاهرة  ‎— مطلوب  ٦٥٥ الف السعر نهائى نهائى لسرعة البيع الاتصال عند الجدية فقط ويفضل احضار فنى عند المعاينة او الكشف ف اقرب مكان / موبايل + واتساب رقم التواصل  01289555174 ‎— رجاء قراءة الاعلان جيدا وكل شئ واضح ف الاعلان
Ad id 196503344,ستروين 2019 بكياس المصنع 35الف كيلو صيانات توكيل رخصه ٣ سنوات بأسمى العربيه جديدة ما شاء الله لا قوه الا بالله  كلها مميزات ستروين جراند بيكاسو c4  2019 اعلى فئه بصمه كالجديدة ولسه في الضمان  1600cc تربو موفره جدا في البنزين ومريحه في السفر  اتو بارك دري فبريكا كلها عدا اجزاء بسيطه بالجنبين نظافه اضاءات ترحيب بالابواب اندرويد اتو وابل كار بلاى  بصمه تكييف امامى وخلفى منفصل  رائع شاشه طبلون وشاشه اخرى تاتش ارباج ،ESB,ABS, كاميرا خليفه  حساسات اماميه وخليفيه فوانيس ليد اوتو لايت مريات ضم كهرباء طاره ملتى شفتات طاره  مثبت سرعه ومحدد سرعه ترحيب بالمريات وحساس بالمريات بالعربيات المجاوره  navigation  Aux,بلوتوث،USB زجاج خلفى وجانبى مثبوت على الرخصه ٧ مقاعد  الاستبن لم يستخدم طى المقاعد ومساحه تخزين كبيره لاتحتاج لمصروف نهائي وصيانات توكيل  السعر قابل للتفاوض بعد المعاينة  كمبوند جولدن هايتس2 التجمع الاول
Ad id 196544584,بسم الله الرحمن الرحيم سيارة فيات تيبو ٢٠٢٢ اول فئة Entry Grade فاميه وغطاء محرك عداد ٤٠٠٠٠ كم  اللون اوشن بلو فابريكة بالكامل بدون اى رش او دهانات تم عمل كل الصيانات حتى صيانة ال ٤٠ الف العربية حظر بنك لصالح مصرف ابو ظبى الاسلامى وهاكيش العربية لصاحب النصيب مرور عين الصيرة رخصة سنة كاملة المعاينة التجمع الثالث القطامية  ملحوظة :- جواب فك الحظر بياخد ٣ ايام عمل  العربية للبيع كاش ومرفوض تكملة الاقساط  السعر النهائى بعد المعاينة مش ف التليفون علما بأن سعر العربية فى المعارض ٢٠٢٢ (٧٥٠ الف)
Ad id 196544270,شركه بالكامل جوه راشه بره معاد سقف مريات كهرباء مكنه وفتيس وعفشه تمام كل حاجه شغاله الله يبارك لصاحب النصيب ٠١٠٠٠٢٤١٢٤٠ للتواصل
Ad id 195671812,نيسان صني للبيع ٢٠٢٢ صيانة توكيل الفئه الثانيه
Ad id 196502872,برليانس جالينا اتوماتيك فبريكا بالكامل عدا وش العربيه نظافه رخصه ٣ سنوات موتور وفتيس بحاله الزيرو صيانتهم معموله  سير كتبنه وطقم بلى بوجهات طقم سيور زيت وفلتر اصلى 10 لاف كيلو  زيت فتيس اصلى زيت باور طرمبه بنزين اصلى جديده تعديل خراطيم الفتيس 400بار  بطاريه جديده  زجاج كهرباء وفاميه مثبوت على الرخصه رنجات ليد ذي الbmw شاشات خليفه تعمل بكفائه العيوب  محتاجه شغل بسيط كهرباء وعفشه  المعاينه خير دليل السعر قابل للتفاوض بعد المعاينه وعند الجديه اى حاجه العربيه محتاجاها  العربيه يتم تنزيلها من سعر العربيه  التجمع الاول او الخامس  ارسال رساله على الواتس اب نفس الرقم لارسال الموقع
Ad id 196432097,اوبترا ٢٠٢٢ كاملة اعلا فئة فبريكا بل كامل بره وجوه من الاكسضام لل اكسضام ولا خربوش بكياس المصنع عداد ٢٦٠٠ صيانة توكيل راكبلها جهاز غاز لسا ما اتشحنش ولا مرة ومثبوت في الرخصة زجاج فاميه مثبوت في الرخصة استبن ما نزلش الارض  رخصة سنتين مرور القاهرة عربية جديدة زيروو كانك بتستلمها من التوكيل وغير كدة الكشف علا حسابي
Ad id 196349351,فابريكة بالكامل بره و جوه فيها شاشة أندرويد وتحكم تاره مالتي  وإمكانية تقسيط بنوك  وتقسيط مباشر
Ad id 196544058,bmw 318i 2016 for sale
Ad id 196543960,٢٠١٣ راشة برا جديده جوا مكنه صغيره
Ad id 196543740,الوحيده في مصر الفقه ديه ليمتيد بانوراما ليمتيد  ضمان عز العرب الوكيل  تامين عز العرب  السياره زيرو مفيش جرام بويه فيها  نانو سرامك ضمان ٥ سنوات  السعر غير قابل للنقاش  ٣٧ الف دولار حسب سعر البنك اليومي  الدفع بي  العمله المصريه مفيش مشكله
Ad id 196543606,بروتن ويرا 2004. اللون اخضر بوستاج . . رخصه ثلاث سنوات من يناير 2023. . . اول مالك  بطاريه جديده ضمان سنه. ماسار فرامل عمومى جديد . . طفاية حريق جديده. . شاشة عرض افلام واغانى . . كاميرا خلفيه  زجاج كهرباء سنترلوك
Ad id 196542644,هيونداي ٢٠١١ اتوماتيك فابريكه من الاكصدام للاكصدام عداد ٩٠ الف كيلو المعاينه مصر الجديده بالكتالوج والمفتاح الاسبير اللون بتنجاني
Ad id 196502339,شيفورليه اوبترا ابيض ٢٠٠٧ بحاله جيده
Ad id 196492336,بسم الله توكلنا على الله سيتروين C4 جراند بيكاسو موديل 2016 عداد 190 ألف كم رشه جانبين ورنيش يوجد لدينا أنظمة تقسيط متعددة
Ad id 196480351,Passat Trend Line 2021 (Factory Paint) 29000 Km All Service Done At Agency   باسات ترند لاين فبريكا بالكامل دهان المصنع عداد 29000 كم صيانات توكيل من الزيرو. . رخصة سنة ونص مرور مصر الجديدة.   المعاينة مصر الجديدة.
Ad id 196480312,لهواه الحالات المميزه فبريكه بالكامل اعلى فئه لاكشرى صيانات توكيل ضمان ممتد ل ٢٠٠ الف كم السياره بحاله الزيرو تماماً
Ad id 196466034,بيجو ٣٠٠٨ أعلى فئه 2014 سقف بانوراما.  عداد 144000 فقط موتور 1600 تربو  فبريكا دواخل بالكامل بدون حوادث فبريكا من الخارج عدا بابين يمين وكبوت فقط للنظافه نتيجة حكات سطحيه فقط والدواخل سليمه 100% وعلى مسئوليتي.  رخصه 9شهور فيها عدد ٣ شاشات اندرويد وكاميرا خلفيه بمبلغ فرش جلد مريح جدًا فوق الفرش الأصلي حساسات ركن  تكييف شغال تلاجه أمامي وخلفي.  مثبت سرعه تحكم طاره العربيه حالتها ممتازه ومستعد للكشف في مركز أو التوكيل.  التواصل للجديه: 01014295450
Ad id 196040469,بحاله الزيرو تماماً نيسان سنترا موديل ٢٠٢١ اعلى فئه عداد الفين كم فقط بحاله الزيرو بدون خدش فبريكه بالكامل
Ad id 196543552,للبيع اسكوا فانتازيا ٢٠١١ رشه كله ماعده سقف وشنطه زيرو دوخل لا تحتاج أي مصروف
Ad id 196066851,هيونداي إلنترا موديل ٢٠٢٢ - الفئه الأولي -عداد ٢٥،٠٠٠كم فقط - السياره فبريكا بالكامل و بحالة المصنع تماماً بدون اي ملاحيظ نهائياً-  اللون فراني - أستبن لم يستخدم - و بها إضافه فرش جلد فاخر أصلي .   يوجد امكانيه تقسيط عند طريق الينوك و شركات التمويل.   FOR MORE INFORMATION FEEL FREE TO CONTACT US ON TELEPHONE & WHAT’S-APP .   01008886441  01000507444  01282303333  OR VISIT US :  ‏‎  ٢٤ ب شارع الدكتور أنور المفتي خلف طيبه مول بمدينة نصر.
Ad id 196513502,Mercedes E300 AMG 2020  عداد 35000 أعلى فئة فبريكة بالكامل  عداد 35000 كيلو  صيانات منتظمة بالتوكيل  فلم حماية برودكت مي  ‎‏.                                                     HEAD-UP-DISPLAY نظام سماعات الصوت Burmester عداد سماعات 9 شنطة كهرباء + سنسر شنطة أبواب شفط  كميرا 360 محرك 2000cc 295hp فيتيس 9سرعات سقف بانوراما  شاحن للهاتف وايرلس شاشة كبيرة 24 بوصة + ابل كار بلاي  نظام ركن العربية الذاتي  مرايا طي كهرباء + سنسر مرايا النقطة العمية فرامل ذاتية تلقائية لمنع التصادم  أضواء ذكية مالتي بيم LED تحديد مسار الطريق  سنسر تحديد السرعة المحددة للطريق  مقاعد كهرباء  جلد نابا + ميموري مقاعد + تدفئة المقاعد  زجاج فيمة على الرخصة  كوتشات MICHELIN  رن فلات جنط 19  01559668864
